x y 
 -1.000   	 0.1530  	
 -0.9600  	 0.1168  	
 -0.9200  	 0.08759 	
 -0.8800  	 0.06455 	
 -0.8400  	 0.04708 	
 -0.8000  	 0.03454 	
 -0.7600  	 0.02635 	
 -0.7200  	 0.02192 	
 -0.6800  	 0.02073 	
 -0.6400  	 0.02226 	
 -0.6000  	 0.02603 	
 -0.5600  	 0.03160 	
 -0.5200  	 0.03855 	
 -0.4800  	 0.04648 	
 -0.4400  	 0.05504 	
 -0.4000  	 0.06389 	
 -0.3600  	 0.07274 	
 -0.3200  	 0.08131 	
 -0.2800  	 0.08936 	
 -0.2400  	 0.09668 	
 -0.2000  	 0.1031  	
 -0.1600  	 0.1084  	
 -0.1200  	 0.1126  	
 -0.08000 	 0.1155  	
 -0.04000 	 0.1170  	
  0.000   	 0.1171  	
  0.04000 	 0.1159  	
  0.08000 	 0.1133  	
  0.1200  	 0.1094  	
  0.1600  	 0.1043  	
  0.2000  	 0.09813 	
  0.2400  	 0.09098 	
  0.2800  	 0.08304 	
  0.3200  	 0.07453 	
  0.3600  	 0.06567 	
  0.4000  	 0.05674 	
  0.4400  	 0.04801 	
  0.4800  	 0.03983 	
  0.5200  	 0.03253 	
  0.5600  	 0.02650 	
  0.6000  	 0.02215 	
  0.6400  	 0.01993 	
  0.6800  	 0.02031 	
  0.7200  	 0.02378 	
  0.7600  	 0.03088 	
  0.8000  	 0.04217 	
  0.8400  	 0.05823 	
  0.8800  	 0.07970 	
  0.9200  	 0.1072  	
  0.9600  	 0.1414  	
  1.000   	 0.1831  	

